request_id,function_label,phase,timestamp_sent,timestamp_received,latency_ms,http_status,lambda_request_id,error,response_snippet,execution_ms,memory_used_mb,cost_usd
28,exp1-java-arm,warmup,1777022549.216949,1777022553.120836,3903.8870334625244,200,fb0b77be-7807-4d33-9e08-f364e3643250,,,238.110,162.125,0.0000052501
102,exp1-java-arm,warmup,1777022552.916969,1777022553.202466,285.49695014953613,200,9b16946e-c69c-4f14-8f9f-a075a531b40b,,,247.470,164.032,0.0000054478
103,exp1-java-arm,warmup,1777022552.967078,1777022553.217558,250.47993659973145,200,6fdfaa2d-d5aa-48b6-b7d4-2809a6c63783,,,214.150,162.125,0.0000047229
104,exp1-java-arm,warmup,1777022553.014915,1777022553.2626472,247.73216247558594,200,befc856f-c932-4ed3-b886-1f0c4f9ec072,,,210.720,164.032,0.0000046350
10,exp1-java-arm,warmup,1777022548.316858,1777022553.268489,4951.6308307647705,200,56827c2e-fd5a-4cd8-8cdd-e14bb88ea7f5,,,219.790,164.032,0.0000048327
105,exp1-java-arm,warmup,1777022553.064975,1777022553.320695,255.7199001312256,200,950c596d-ea7f-4746-a015-ceba87c33c3b,,,220.410,164.032,0.0000048547
35,exp1-java-arm,warmup,1777022549.565598,1777022553.387051,3821.453094482422,429,e94e78a8-b245-4ebb-a260-d20ab95ad893,HTTP 429,"{""Reason"":""ConcurrentInvocationLimitExceeded"",""Type"":""User"",""message"":""Rate Exceeded.""}",,,
23,exp1-java-arm,warmup,1777022548.966789,1777022553.392927,4426.137924194336,200,e11ab0ad-c3dc-43cb-9e88-9bfff922c893,,,224.830,162.125,0.0000049426
12,exp1-java-arm,warmup,1777022548.416842,1777022553.3988822,4982.040166854858,200,35132cac-41c9-4a75-b327-874e8850d96c,,,211.480,165.939,0.0000046570
29,exp1-java-arm,warmup,1777022549.265683,1777022553.399234,4133.551120758057,200,1d1cdd87-ceea-429e-af62-6deaff4ec767,,,188.540,164.032,0.0000041517
107,exp1-java-arm,warmup,1777022553.166922,1777022553.421292,254.36997413635254,200,c16af9e5-f23d-40f9-ad7a-81c72c1886cb,,,221.400,160.217,0.0000048767
108,exp1-java-arm,warmup,1777022553.21695,1777022553.471027,254.07695770263672,200,95d769a3-e382-487c-9587-80aafe49b7fd,,,218.360,162.125,0.0000048108
109,exp1-java-arm,warmup,1777022553.265444,1777022553.518137,252.69293785095215,200,8b201844-e2e1-4e65-a46d-8908cd75d410,,,217.460,164.032,0.0000047888
106,exp1-java-arm,warmup,1777022553.115233,1777022553.52798,412.7471446990967,200,1fae1321-406a-49d3-b771-bb760a64d156,,,213.130,164.032,0.0000047009
110,exp1-java-arm,warmup,1777022553.3169332,1777022553.555924,238.99078369140625,200,4203c4eb-7d21-4c0f-ad0f-008eeab4ddf9,,,204.840,164.032,0.0000045032
21,exp1-java-arm,warmup,1777022548.8671,1777022553.6049962,4737.896203994751,200,20f10c3d-b025-4122-8cf3-0579f5336cce,,,241.270,164.032,0.0000053160
